list_no,date,region,kind,title,start,end,max_mw,min_mw,solar_mw,wind_mw,reason,url
72505,2024-05-13,제주,실적,제주 출력제한 실적 공지 [ 2024년 05월 13일(월) ],10:42,15:06,746,545,34.2,217.5,"전력망 제약, 전력수급 제약",https://new.kpx.or.kr/board.es?mid=a10109050000&bid=0216&act=view&list_no=72505&tag=&nPage=31
72508,2024-05-15,제주,전망,제주 출력제한 전망안내 [ 2024년 05월 15일(수) ],,,,,,,,https://new.kpx.or.kr/board.es?mid=a10109050000&bid=0216&act=view&list_no=72508&tag=&nPage=30
72511,2024-05-14,제주,실적,제주 출력제한 실적 공지 [ 2024년 05월 14일(화) ],11:08,14:48,737,535,29.6,,"전력망 제약, 전력수급 제약",https://new.kpx.or.kr/board.es?mid=a10109050000&bid=0216&act=view&list_no=72511&tag=&nPage=30
72512,2024-05-16,제주,전망,제주 출력제한 전망안내 [ 2024년 05월 16일(목) ],,,,,,,,https://new.kpx.or.kr/board.es?mid=a10109050000&bid=0216&act=view&list_no=72512&tag=&nPage=30
72514,2024-05-15,제주,실적,제주 출력제한 실적 공지 [ 2024년 05월 15일(수) ],11:08,14:48,745,498,121.1,285,"전력망 제약, 전력수급 제약",https://new.kpx.or.kr/board.es?mid=a10109050000&bid=0216&act=view&list_no=72514&tag=&nPage=30
72519,2024-05-17,제주,전망,제주 출력제한 전망안내 [ 2024년 05월 17일(금) ],,,,,,,,https://new.kpx.or.kr/board.es?mid=a10109050000&bid=0216&act=view&list_no=72519&tag=&nPage=30
72520,2024-05-16,제주,실적,제주 출력제한 실적 공지 [ 2024년 05월 16일(목) ],08:49,16:03,748,526,18.5,300.5,"전력망 제약, 전력수급 제약",https://new.kpx.or.kr/board.es?mid=a10109050000&bid=0216&act=view&list_no=72520&tag=&nPage=30
72537,2024-05-18,제주,전망,제주 출력제한 전망안내 [ 2024년 05월 18일(토) ],,,,,,,,https://new.kpx.or.kr/board.es?mid=a10109050000&bid=0216&act=view&list_no=72537&tag=&nPage=30
72539,2024-05-17,제주,실적,제주 출력제한 실적 공지 [ 2024년 05월 17일(금) ],09:13,15:29,735,547,113.1,255.0,"전력망 제약, 전력수급 제약",https://new.kpx.or.kr/board.es?mid=a10109050000&bid=0216&act=view&list_no=72539&tag=&nPage=30
72540,2024-05-19,제주,전망,제주 출력제한 전망안내 [ 2024년 05월 19일(일) ],,,,,,,,https://new.kpx.or.kr/board.es?mid=a10109050000&bid=0216&act=view&list_no=72540&tag=&nPage=30
72541,2024-05-18,제주,실적,제주 출력제한 실적 공지 [ 2024년 05월 18일(토) ],10:10,15:30,722,522,48.6,206.5,"전력망 제약, 전력수급 제약",https://new.kpx.or.kr/board.es?mid=a10109050000&bid=0216&act=view&list_no=72541&tag=&nPage=30
